West Longitude,South Latitude,East Longitude,North Latitude,IDgrid,Valid
-49.389338636,-25.64538622,-49.3852563633,-25.6394132162,1,False
-49.3852563633,-25.64538622,-49.3811740905,-25.6394132162,2,False
-49.3811740905,-25.64538622,-49.3770918178,-25.6394132162,3,False
-49.3770918178,-25.64538622,-49.373009545,-25.6394132162,4,False
-49.373009545,-25.64538622,-49.3689272723,-25.6394132162,5,False
-49.3689272723,-25.64538622,-49.3648449996,-25.6394132162,6,True
-49.3648449996,-25.64538622,-49.3607627268,-25.6394132162,7,True
-49.3607627268,-25.64538622,-49.3566804541,-25.6394132162,8,True
-49.3566804541,-25.64538622,-49.3525981813,-25.6394132162,9,True
-49.3525981813,-25.64538622,-49.3485159086,-25.6394132162,10,False
-49.3485159086,-25.64538622,-49.3444336359,-25.6394132162,11,False
-49.3444336359,-25.64538622,-49.3403513631,-25.6394132162,12,False
-49.3403513631,-25.64538622,-49.3362690904,-25.6394132162,13,False
-49.3362690904,-25.64538622,-49.3321868176,-25.6394132162,14,False
-49.3321868176,-25.64538622,-49.3281045449,-25.6394132162,15,False
-49.3281045449,-25.64538622,-49.3240222722,-25.6394132162,16,False
-49.3240222722,-25.64538622,-49.3199399994,-25.6394132162,17,False
-49.3199399994,-25.64538622,-49.3158577267,-25.6394132162,18,False
-49.3158577267,-25.64538622,-49.3117754539,-25.6394132162,19,False
-49.3117754539,-25.64538622,-49.3076931812,-25.6394132162,20,False
-49.3076931812,-25.64538622,-49.3036109085,-25.6394132162,21,False
-49.3036109085,-25.64538622,-49.2995286357,-25.6394132162,22,False
-49.2995286357,-25.64538622,-49.295446363,-25.6394132162,23,False
-49.295446363,-25.64538622,-49.2913640902,-25.6394132162,24,False
-49.2913640902,-25.64538622,-49.2872818175,-25.6394132162,25,False
-49.2872818175,-25.64538622,-49.2831995448,-25.6394132162,26,False
-49.2831995448,-25.64538622,-49.279117272,-25.6394132162,27,False
-49.279117272,-25.64538622,-49.2750349993,-25.6394132162,28,False
-49.2750349993,-25.64538622,-49.2709527265,-25.6394132162,29,False
-49.2709527265,-25.64538622,-49.2668704538,-25.6394132162,30,False
-49.2668704538,-25.64538622,-49.2627881811,-25.6394132162,31,False
-49.2627881811,-25.64538622,-49.2587059083,-25.6394132162,32,False
-49.2587059083,-25.64538622,-49.2546236356,-25.6394132162,33,False
-49.2546236356,-25.64538622,-49.2505413628,-25.6394132162,34,False
-49.2505413628,-25.64538622,-49.2464590901,-25.6394132162,35,False
-49.2464590901,-25.64538622,-49.2423768174,-25.6394132162,36,False
-49.2423768174,-25.64538622,-49.2382945446,-25.6394132162,37,False
-49.2382945446,-25.64538622,-49.2342122719,-25.6394132162,38,False
-49.2342122719,-25.64538622,-49.2301299991,-25.6394132162,39,False
-49.2301299991,-25.64538622,-49.2260477264,-25.6394132162,40,False
-49.2260477264,-25.64538622,-49.2219654537,-25.6394132162,41,False
-49.2219654537,-25.64538622,-49.2178831809,-25.6394132162,42,False
-49.2178831809,-25.64538622,-49.2138009082,-25.6394132162,43,False
-49.2138009082,-25.64538622,-49.2097186354,-25.6394132162,44,False
-49.2097186354,-25.64538622,-49.2056363627,-25.6394132162,45,False
-49.2056363627,-25.64538622,-49.20155409,-25.6394132162,46,False
-49.20155409,-25.64538622,-49.1974718172,-25.6394132162,47,False
-49.1974718172,-25.64538622,-49.1933895445,-25.6394132162,48,False
-49.1933895445,-25.64538622,-49.1893072717,-25.6394132162,49,False
-49.1893072717,-25.64538622,-49.185224999,-25.6394132162,50,False
-49.389338636,-25.6394132162,-49.3852563633,-25.6334402124,51,False
-49.3852563633,-25.6394132162,-49.3811740905,-25.6334402124,52,False
-49.3811740905,-25.6394132162,-49.3770918178,-25.6334402124,53,False
-49.3770918178,-25.6394132162,-49.373009545,-25.6334402124,54,False
-49.373009545,-25.6394132162,-49.3689272723,-25.6334402124,55,False
-49.3689272723,-25.6394132162,-49.3648449996,-25.6334402124,56,True
-49.3648449996,-25.6394132162,-49.3607627268,-25.6334402124,57,True
-49.3607627268,-25.6394132162,-49.3566804541,-25.6334402124,58,True
-49.3566804541,-25.6394132162,-49.3525981813,-25.6334402124,59,True
-49.3525981813,-25.6394132162,-49.3485159086,-25.6334402124,60,True
-49.3485159086,-25.6394132162,-49.3444336359,-25.6334402124,61,True
-49.3444336359,-25.6394132162,-49.3403513631,-25.6334402124,62,True
-49.3403513631,-25.6394132162,-49.3362690904,-25.6334402124,63,True
-49.3362690904,-25.6394132162,-49.3321868176,-25.6334402124,64,False
-49.3321868176,-25.6394132162,-49.3281045449,-25.6334402124,65,False
-49.3281045449,-25.6394132162,-49.3240222722,-25.6334402124,66,True
-49.3240222722,-25.6394132162,-49.3199399994,-25.6334402124,67,False
-49.3199399994,-25.6394132162,-49.3158577267,-25.6334402124,68,False
-49.3158577267,-25.6394132162,-49.3117754539,-25.6334402124,69,False
-49.3117754539,-25.6394132162,-49.3076931812,-25.6334402124,70,False
-49.3076931812,-25.6394132162,-49.3036109085,-25.6334402124,71,False
-49.3036109085,-25.6394132162,-49.2995286357,-25.6334402124,72,False
-49.2995286357,-25.6394132162,-49.295446363,-25.6334402124,73,False
-49.295446363,-25.6394132162,-49.2913640902,-25.6334402124,74,False
-49.2913640902,-25.6394132162,-49.2872818175,-25.6334402124,75,False
-49.2872818175,-25.6394132162,-49.2831995448,-25.6334402124,76,False
-49.2831995448,-25.6394132162,-49.279117272,-25.6334402124,77,False
-49.279117272,-25.6394132162,-49.2750349993,-25.6334402124,78,False
-49.2750349993,-25.6394132162,-49.2709527265,-25.6334402124,79,False
